"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Single Arm Landmine Press (Barbell)",,"",1,"normal",100,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Single Arm Landmine Press (Barbell)",,"",2,"normal",100,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Bench Press - Close Grip (Barbell)",,"",0,"normal",135,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Bench Press - Close Grip (Barbell)",,"",1,"normal",135,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Bench Press - Close Grip (Barbell)",,"",2,"normal",155,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Extension (Cable)",,"",0,"normal",72.5,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Extension (Cable)",,"",1,"normal",80,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Extension (Cable)",,"",2,"normal",80,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Face Pull",,"",0,"normal",72.5,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Face Pull",,"",1,"normal",72.5,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Face Pull",,"",2,"normal",72.5,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Cable Fly Crossovers",,"",0,"normal",75,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Cable Fly Crossovers",,"",1,"normal",95,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Cable Fly Crossovers",,"",2,"normal",95,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Dip",,"",0,"normal",,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Dip",,"",1,"normal",,10,,,
"Push 2","1 Jan 2026, 17:11","1 Jan 2026, 18:17","","Triceps Dip",,"",2,"normal",,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Bodyweight)",,"",0,"normal",,20,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Barbell)",,"",0,"normal",135,5,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Barbell)",,"",1,"normal",225,5,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Barbell)",,"",2,"normal",245,5,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Barbell)",,"",3,"normal",245,5,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Squat (Barbell)",,"",4,"normal",135,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Romanian Deadlift (Barbell)",,"",0,"normal",135,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Romanian Deadlift (Barbell)",,"",1,"normal",185,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Romanian Deadlift (Barbell)",,"",2,"normal",185,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Leg Press (Machine)",,"",0,"normal",450,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Leg Press (Machine)",,"",1,"normal",540,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Leg Press (Machine)",,"",2,"normal",540,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Calf Press (Machine)",,"",0,"normal",270,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Calf Press (Machine)",,"",1,"normal",270,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Calf Press (Machine)",,"",2,"normal",360,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Cable Crunch",,"",0,"normal",95,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Cable Crunch",,"",1,"normal",95,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Cable Crunch",,"",2,"normal",95,10,,,
"Legs 1","28 Dec 2025, 18:03","28 Dec 2025, 19:03","","Cable Crunch",,"",3,"normal",72.5,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Pull Up",,"",0,"normal",,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Pull Up",,"",1,"normal",,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Pull Up",,"",2,"normal",,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",180,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",200,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",220,5,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Seated Cable Row - V Grip (Cable)",,"",3,"normal",140,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Single Arm Cable Row",,"",0,"normal",140,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Single Arm Cable Row",,"",1,"normal",140,10,,,
"Pull 1","27 Dec 2025, 17:32","27 Dec 2025, 18:34","","Single Arm Cable Row",,"",2,"normal",170,5,,,
